enter_time,complete_time
1610169013892926,1610169013950022
1610169013893419,1610169014005657
1610169013893511,1610169014061027
1610169013893598,1610169014116640
1610169013893684,1610169014172201
1610169013893787,1610169014227860
1610169013893887,1610169014283645
1610169013894027,1610169014339781
1610169013894187,1610169014395557
1610169013894336,1610169014451241
1610169013894469,1610169014507113
1610169013894597,1610169014562679
1610169013894746,1610169014618281
1610169013894894,1610169014674138
1610169013895041,1610169014729638
1610169013895153,1610169014785822
1610169013895513,1610169014841821
1610169013895699,1610169014897513
1610169013895840,1610169014952984
1610169013895976,1610169015009381
1610169013896114,1610169015064977
1610169013896249,1610169015120578
1610169013896383,1610169015176207
1610169013896512,1610169015232097
1610169013896651,1610169015287693
1610169013896780,1610169015343223
1610169014896952,1610169015399345
1610169014897095,1610169015454892
1610169014897220,1610169015510825
1610169014897344,1610169015566804
1610169014897483,1610169015622576
1610169014897575,1610169015678376
1610169014897661,1610169015734079
1610169014897781,1610169015789737
1610169014897905,1610169015845255
1610169014898023,1610169015900554
1610169014898147,1610169015956216
1610169014898264,1610169016011959
1610169014898387,1610169016067629
1610169014898514,1610169016123452
1610169014898660,1610169016178925
1610169014898789,1610169016234727
1610169014898929,1610169016290132
1610169014899055,1610169016345978
1610169014899153,1610169016401238
1610169014899281,1610169016457029
1610169015899492,1610169016512968
1610169015899655,1610169016568309
1610169015899784,1610169016623902
1610169015899922,1610169016679716
1610169015900054,1610169016735606
1610169015900182,1610169016841192
1610169015900309,1610169016896846
1610169015900436,1610169016952494
1610169015900561,1610169017008189
1610169015900665,1610169017064005
1610169015900785,1610169017119494
1610169015900912,1610169017175050
1610169015901032,1610169017230870
1610169015901157,1610169017286694
1610169015901276,1610169017342262
1610169015901402,1610169017397919
1610169015901521,1610169017453620
1610169015901654,1610169017509272
1610169015901783,1610169017565024
1610169015901918,1610169017628945
1610169015902043,1610169017684648
1610169016902249,1610169017741813
1610169016902386,1610169017797254
1610169016902517,1610169017853287
1610169016902637,1610169017909018
1610169016902775,1610169017964592
1610169016902902,1610169018020179
1610169016903031,1610169018075814
1610169016903154,1610169018131376
1610169016903283,1610169018187030
1610169016903404,1610169018277827
1610169016903531,1610169018333353
1610169016903651,1610169018440922
1610169016903777,1610169018496580
1610169016903897,1610169018551934
1610169016904029,1610169018607701
1610169016904150,1610169018663207
1610169016904277,1610169018718684
1610169016904406,1610169018774068
1610169016904541,1610169018829482
1610169016904671,1610169018885089
1610169016904805,1610169018940745
1610169016904947,1610169018996565
1610169016905082,1610169019052163
1610169016905217,1610169019107818
1610169016905358,1610169019163567
1610169016905484,1610169019219166
1610169016905621,1610169019274825
1610169016905753,1610169019330570
1610169016905893,1610169019386057
1610169016906020,1610169019441472
1610169016906161,1610169019497301
1610169016906300,1610169019552929
1610169016906442,1610169019608262
1610169016906573,1610169019663904
1610169016906713,1610169019719533
1610169016906844,1610169019775206
1610169016906976,1610169019831000
1610169016907108,1610169019886699
1610169016907275,1610169019942327
1610169016907404,1610169019998041
1610169016907539,1610169020053548
1610169016907683,1610169020108935
1610169016907815,1610169020164579
1610169016907949,1610169020220038
1610169016908088,1610169020275847
1610169016908222,1610169020331657
1610169016908358,1610169020387250
1610169016908497,1610169020442933
1610169016908632,1610169020498962
1610169016908761,1610169020554354
1610169016908903,1610169020610106
1610169016909037,1610169020665882
1610169016909172,1610169020721429
1610169016909311,1610169020777172
1610169016909444,1610169020832448
1610169016909576,1610169020887930
1610169016909710,1610169020943611
1610169016909844,1610169020999187
1610169016909974,1610169021054896
1610169016910104,1610169021110357
1610169016910243,1610169021166091
1610169016910376,1610169021221689
1610169016910507,1610169021277149
1610169016910642,1610169021332742
1610169016910769,1610169021388275
1610169016910896,1610169021443826
1610169016911032,1610169021499991
1610169016911162,1610169021555731
1610169016911295,1610169021612000
1610169016911437,1610169021667755
