enter_time,complete_time
1610172755488540,1610172761359217
1610172755488658,1610172761414669
1610172755488778,1610172761507101
1610172755488897,1610172761562812
1610172755489016,1610172761618319
1610172755489135,1610172761673819
1610172755489254,1610172761729343
1610172755489372,1610172761784738
1610172755489477,1610172761840269
1610172755489579,1610172761895887
1610172755489680,1610172761951709
1610172755489784,1610172762007310
1610172755489887,1610172762062976
1610172755489989,1610172762118905
1610172755490091,1610172762174411
1610172755490195,1610172762230099
1610172755490298,1610172762285820
1610172755490401,1610172762341436
1610172755490503,1610172762396917
1610172755490606,1610172762452565
1610172755490717,1610172762507948
1610172755490831,1610172762563531
1610172755490944,1610172762619463
1610172755491059,1610172762676038
1610172755491166,1610172762731599
1610172755491289,1610172762787523
1610172755491403,1610172762843234
1610172755491522,1610172762899204
1610172755491641,1610172762955228
1610172755491760,1610172763011242
1610172755491872,1610172763066962
1610172755491991,1610172763122744
1610172755492108,1610172763178442
1610172755492225,1610172763234327
1610172755492345,1610172763290015
1610172755492463,1610172763345674
1610172755492581,1610172763401364
1610172755492694,1610172763456988
1610172755492812,1610172763512458
1610172755492927,1610172763567924
1610172757493123,1610172763625011
1610172757493306,1610172763680653
1610172757493439,1610172763736189
1610172757493571,1610172763791817
1610172757493702,1610172763847583
1610172757493833,1610172763903411
1610172757493965,1610172763959098
1610172757494094,1610172764014760
1610172757494226,1610172764070353
1610172757494356,1610172764125909
1610172758494515,1610172764181426
1610172758494654,1610172764236838
1610172758494786,1610172764292629
1610172758494910,1610172764348282
1610172758495032,1610172764403922
1610172758495151,1610172764459589
1610172758495275,1610172764515372
1610172759495503,1610172764571270
1610172759495682,1610172764627380
1610172759495811,1610172764683657
1610172759495935,1610172764747660
1610172759496060,1610172764803580
1610172759496186,1610172764859159
1610172759496310,1610172764914846
1610172759496433,1610172764970522
1610172759496558,1610172765025977
1610172759496685,1610172765081652
1610172759496811,1610172765137111
1610172759496937,1610172765192488
1610172759497062,1610172765248129
1610172759497190,1610172765304000
1610172759497316,1610172765359553
1610172759497441,1610172765415438
1610172759497566,1610172765471196
1610172759497691,1610172765526628
1610172759497816,1610172765582445
1610172759497927,1610172765638704
1610172759498036,1610172765694367
1610172759498144,1610172765749879
1610172760498330,1610172765805848
1610172760498477,1610172765861505
1610172760498605,1610172765917117
1610172760498730,1610172765972839
1610172760498855,1610172766028437
1610172760498979,1610172766083953
1610172760499104,1610172766139584
1610172760499244,1610172766195405
1610172760499371,1610172766251021
1610172760499502,1610172766306903
1610172760499628,1610172766362897
1610172760499753,1610172766418702
1610172760499879,1610172766474388
1610172760500003,1610172766530017
1610172760500136,1610172766585565
1610172760500261,1610172766641596
1610172760500386,1610172766714323
1610172760500518,1610172766769865
1610172760500646,1610172766825515
1610172760500759,1610172766880888
1610172760500869,1610172766936542
1610172760500979,1610172766992257
1610172760501086,1610172767048060
1610172760501196,1610172767103638
1610172760501306,1610172767159097
1610172760501415,1610172767214870
1610172760501524,1610172767270616
1610172760501639,1610172767326158
1610172760501750,1610172767381983
1610172760501859,1610172767437789
1610172760501968,1610172767493403
1610172760502078,1610172767549054
1610172760502187,1610172767604665
1610172760502295,1610172767660333
1610172760502404,1610172767716154
1610172760502513,1610172767771858
1610172760502626,1610172767827609
1610172760502753,1610172767883084
1610172760502873,1610172767938743
1610172760502994,1610172767994432
1610172760503115,1610172768049985
1610172760503246,1610172768105680
1610172760503378,1610172768161598
1610172760503500,1610172768217107
1610172760503618,1610172768272745
1610172760503747,1610172768328735
1610172760503866,1610172768384583
1610172760503987,1610172768440275
1610172760504107,1610172768495911
1610172760504230,1610172768551476
1610172760504354,1610172768607274
1610172760504478,1610172768663268
1610172760504600,1610172768719240
1610172760504724,1610172768774858
1610172760504854,1610172768831052
1610172760504972,1610172768886697
1610172761505177,1610172768942421
1610172761505353,1610172768997904
1610172761505487,1610172769053468
1610172761505621,1610172769108965
1610172761505755,1610172769164778
1610172761505888,1610172769220167
1610172762506050,1610172769275682
1610172762506211,1610172769331426
1610172762506339,1610172769387441
1610172762506476,1610172769443039
1610172762506607,1610172769498790
1610172762506749,1610172769554352
1610172762506890,1610172769610052
1610172763507086,1610172769665663
1610172763507268,1610172769721221
1610172763507395,1610172769776836
1610172763507522,1610172769832645
1610172763507650,1610172769888465
1610172763507775,1610172769944390
1610172765507981,1610172770000779
1610172765508159,1610172770056675
1610172765508296,1610172770112210
1610172765508429,1610172770167877
1610172765508563,1610172770223757
1610172765508696,1610172770279577
1610172765508828,1610172770335477
1610172765508961,1610172770391272
1610172765509095,1610172770446973
1610172765509227,1610172770503065
1610172765509359,1610172770558874
1610172765509491,1610172770630844
1610172765509624,1610172770713185
1610172766509784,1610172770768922
1610172767510013,1610172770824820
1610172767510184,1610172770880566
1610172767510315,1610172770936395
1610172767510443,1610172770992497
1610172767510571,1610172771048266
1610172767510700,1610172771104264
1610172767510828,1610172771159868
1610172767510957,1610172771215734
1610172767511087,1610172771271603
1610172768511238,1610172771327357
1610172768511378,1610172771383002
1610172768511506,1610172771438799
1610172768511632,1610172771494455
1610172768511757,1610172771550111
1610172768511883,1610172771605714
1610172768512008,1610172771661649
1610172768512133,1610172771717485
1610172769512338,1610172771773267
1610172769512516,1610172771829224
1610172769512659,1610172771885174
1610172769512796,1610172771940912
1610172769512930,1610172771996901
1610172769513064,1610172772052460
1610172769513200,1610172772107931
1610172769513335,1610172772163694
1610172769513471,1610172772236472
1610172769513607,1610172772292449
1610172769513743,1610172772348077
1610172769513879,1610172772403784
1610172769514016,1610172772459538
1610172769514152,1610172772515154
1610172770514361,1610172772571357
1610172770514511,1610172772627872
1610172770514651,1610172772683619
1610172770514788,1610172772739302
1610172770514923,1610172772795303
1610172770515059,1610172772851169
1610172770515151,1610172772906839
1610172770515286,1610172772962729
1610172770515420,1610172773018613
1610172770515553,1610172773074642
1610172770515697,1610172773130640
1610172770515836,1610172773186647
1610172770515973,1610172773242634
1610172770516105,1610172773298667
1610172770516238,1610172773354479
1610172770516368,1610172773410580
1610172770516500,1610172773466561
1610172770516629,1610172773522381
1610172770516771,1610172773578205
1610172770516905,1610172773634215
1610172770517036,1610172773690158
1610172770517167,1610172773746121
1610172770517296,1610172773802425
1610172770517425,1610172773858189
1610172770517553,1610172773914149
1610172770517681,1610172773970210
1610172770517813,1610172774065754
1610172770517952,1610172774121496
1610172770518083,1610172774177249
1610172770518213,1610172774233393
1610172770518342,1610172774289216
1610172770518471,1610172774345224
1610172770518600,1610172774401121
1610172770518734,1610172774457247
1610172770518863,1610172774513183
1610172770519003,1610172774569265
1610172770519147,1610172774625417
1610172770519295,1610172774682276
1610172770519439,1610172774738358
1610172770519575,1610172774794305
1610172770519706,1610172774850463
1610172770519836,1610172774906126
1610172770519975,1610172774962026
1610172770520108,1610172775018150
1610172770520240,1610172775074204
1610172770520370,1610172775130198
1610172770520501,1610172775186002
1610172770520632,1610172775241638
1610172770520762,1610172775297437
1610172770520895,1610172775353027
1610172770521016,1610172775408860
1610172770521138,1610172775465064
1610172770521252,1610172775520994
1610172770521367,1610172775577116
1610172770521481,1610172775633047
1610172773521687,1610172775689728
1610172773521881,1610172775745916
1610172773522021,1610172775801932
1610172773522159,1610172775857904
1610172773522297,1610172775913712
1610172773522436,1610172775969773
1610172773522570,1610172776026143
1610172774522737,1610172776082027
1610172775522962,1610172776138324
1610172775523165,1610172776194053
1610172775523309,1610172776250152
1610172775523449,1610172776306034
1610172775523588,1610172776361955
1610172775523726,1610172776417784
1610172775523864,1610172776473713
1610172775524005,1610172776529765
1610172775524144,1610172776585487
1610172775524281,1610172776641801
1610172775524420,1610172776698002
1610172775524558,1610172776753948
1610172775524696,1610172776809805
1610172775524833,1610172776865706
1610172775524971,1610172776921606
1610172775525110,1610172776977815
1610172775525249,1610172777033853
1610172775525384,1610172777089522
1610172775525517,1610172777145353
1610172775525652,1610172777201273
1610172775525784,1610172777257107
1610172775525920,1610172777313113
1610172775526054,1610172777382364
1610172775526205,1610172777438372
1610172775526375,1610172777494432
1610172775526535,1610172777550369
1610172775526674,1610172777606391
1610172776526869,1610172777662809
1610172776527023,1610172777718897
1610172776527166,1610172777774649
1610172776527304,1610172777830445
1610172776527442,1610172777886392
1610172776527579,1610172777942403
1610172776527715,1610172777998424
1610172776527853,1610172778054487
1610172776527991,1610172778110393
1610172776528129,1610172778166303
1610172776528267,1610172778222367
1610172776528408,1610172778278405
1610172776528549,1610172778334497
1610172776528689,1610172778390445
1610172776528829,1610172778446430
1610172776528970,1610172778502471
1610172777529199,1610172778558315
1610172777529373,1610172778614267
1610172777529508,1610172778670484
1610172777529642,1610172778726771
1610172777529774,1610172778828774
1610172778529975,1610172778885070
1610172778530132,1610172778941034
1610172778530274,1610172778997338
1610172778530415,1610172779053357
1610172778530554,1610172779109642
