enter_time,complete_time
1610175640382954,1610175640444716
1610175640383354,1610175640500536
1610175640383438,1610175640556067
1610175640383507,1610175640611702
1610175640383545,1610175640667412
1610175640383570,1610175640723003
1610175640383589,1610175640808464
1610175640383608,1610175640863925
1610175640383628,1610175640919503
1610175640383648,1610175640974967
1610175640383667,1610175641030604
1610175640383687,1610175641086092
1610175640383715,1610175641141608
1610175640383734,1610175641197323
1610175640383752,1610175641253014
1610175640383770,1610175641308407
1610175640383787,1610175641363978
1610175640383805,1610175641419840
1610175640383825,1610175641475333
1610175640383870,1610175641530784
1610175640383906,1610175641586363
1610175640383935,1610175641641788
1610175640383964,1610175641697372
1610175640383995,1610175641753116
1610175640384036,1610175641808874
1610175640384070,1610175641864687
1610175640384100,1610175641920561
1610175640384134,1610175641976095
1610175640384161,1610175642031724
1610175640384194,1610175642087335
1610175640384226,1610175642143138
1610175640384259,1610175642198869
1610175640384291,1610175642254568
1610175640384327,1610175642310051
1610175640384361,1610175642365804
1610175640384402,1610175642421155
1610175640384433,1610175642476649
1610175640384460,1610175642531998
1610175640384505,1610175642587579
1610175640384537,1610175642643177
1610175640384566,1610175642698741
1610175640384600,1610175642754505
1610175640384639,1610175642810222
1610175640384680,1610175642865819
1610175640384713,1610175642921616
1610175640384752,1610175642977041
1610175640384779,1610175643032753
1610175640384811,1610175643088442
1610175640384848,1610175643144111
1610175640384880,1610175643199688
1610175640384917,1610175643255230
1610175640384981,1610175643310909
1610175640385021,1610175643366553
1610175640385058,1610175643422710
1610175640385101,1610175643478426
1610175640385141,1610175643534084
1610175640385173,1610175643589792
1610175640385210,1610175643645538
1610175640385242,1610175643701439
1610175640385274,1610175643756985
1610175640385313,1610175643812706
1610175640385344,1610175643868204
1610175640385374,1610175643923875
1610175640385437,1610175643979548
1610175640385482,1610175644035319
1610175640385523,1610175644091103
1610175640385553,1610175644146623
1610175640385594,1610175644202278
1610175640385633,1610175644303888
1610175640385670,1610175644359509
1610175640385703,1610175644415184
1610175640385733,1610175644470724
1610175640385765,1610175644526386
1610175640385794,1610175644581956
1610175640385832,1610175644637535
1610175640385865,1610175644692966
1610175640385905,1610175644748513
1610175640385937,1610175644804195
1610175640385971,1610175644859820
1610175640386018,1610175644915551
1610175640386066,1610175644971706
1610175640386100,1610175645027169
1610175640386132,1610175645082691
1610175640386176,1610175645138249
1610175640386214,1610175645193946
1610175640386245,1610175645249540
1610175640386283,1610175645305140
1610175640386316,1610175645360864
1610175640386355,1610175645416728
1610175640386387,1610175645472554
1610175640386426,1610175645528098
1610175640386465,1610175645591806
1610175640386501,1610175645647650
1610175640386542,1610175645755183
1610175640386574,1610175645810792
1610175640386605,1610175645866396
1610175640386642,1610175645922021
1610175640386678,1610175645977550
1610175640386709,1610175646033446
1610175640386748,1610175646088924
1610175640386788,1610175646144498
1610175640386822,1610175646199994
1610175640386853,1610175646255885
1610175640386893,1610175646311469
1610175640386927,1610175646367824
1610175640386970,1610175646423442
1610175640386999,1610175646478767
1610175640387035,1610175646534344
1610175640387069,1610175646589896
1610175640387133,1610175646645333
1610175640387165,1610175646701034
1610175640387195,1610175646756630
1610175640387238,1610175646812486
1610175640387271,1610175646868254
1610175640387317,1610175646923842
1610175640387348,1610175646979480
1610175640387388,1610175647035047
1610175640387427,1610175647090814
1610175640387463,1610175647146518
1610175640387497,1610175647201949
1610175640387536,1610175647257434
1610175640387569,1610175647313023
1610175640387611,1610175647368663
1610175640387648,1610175647424551
1610175640387686,1610175647480329
1610175640387718,1610175647536079
1610175640387755,1610175647591561
1610175640387787,1610175647647111
1610175640387824,1610175647702684
1610175640387856,1610175647758000
1610175640387887,1610175647813766
1610175640387924,1610175647869585
1610175640387961,1610175647925067
1610175640387992,1610175647980740
1610175640388024,1610175648036344
1610175640388055,1610175648091996
1610175640388103,1610175648147619
1610175640388142,1610175648203304
1610175640388190,1610175648259001
1610175640388264,1610175648314957
1610175640388342,1610175648395559
1610175640388406,1610175648450862
1610175640388508,1610175648506565
1610175640388570,1610175648561977
1610175640388638,1610175648617414
1610175640388724,1610175648673042
1610175640388806,1610175648728649
1610175640388867,1610175648784215
1610175640388972,1610175648839852
1610175640389053,1610175648895248
1610175640389144,1610175648950977
1610175640389231,1610175649006615
1610175640389327,1610175649062469
1610175640389405,1610175649118265
1610175640389490,1610175649173778
1610175640389552,1610175649229305
1610175640389620,1610175649284896
1610175640389679,1610175649340572
1610175640389751,1610175649396099
1610175640389813,1610175649452751
1610175640389883,1610175649508270
1610175640389946,1610175649563991
1610175640390014,1610175649619445
1610175640390075,1610175649675287
1610175640390142,1610175649730992
1610175640390205,1610175649786779
1610175640390273,1610175649842449
1610175640390357,1610175649897945
1610175640390429,1610175649953566
1610175640390498,1610175650008900
1610175640390567,1610175650064421
1610175640390631,1610175650120088
1610175640390703,1610175650175727
1610175640390766,1610175650231111
1610175640390835,1610175650286916
1610175640390897,1610175650342697
1610175640390967,1610175650398655
1610175640391030,1610175650454292
1610175640391098,1610175650509811
1610175640391183,1610175650565381
1610175640391250,1610175650621186
1610175640391313,1610175650676904
1610175640391394,1610175650732554
1610175640391464,1610175650788054
1610175640391532,1610175650843688
1610175640391598,1610175650899293
1610175640391667,1610175650954924
1610175640391731,1610175651010832
1610175640391802,1610175651066376
1610175640391866,1610175651122058
1610175640391936,1610175651177755
1610175640392000,1610175651233789
1610175640392065,1610175651289388
1610175640392128,1610175651344879
1610175640392200,1610175651400437
1610175640392264,1610175651456170
1610175640392330,1610175651511804
1610175640392394,1610175651567584
1610175640392478,1610175651623220
1610175640392546,1610175651678712
1610175640392610,1610175651734442
1610175640392671,1610175651790097
1610175640392739,1610175651845624
1610175640392802,1610175651901511
1610175640392869,1610175651957019
1610175640392930,1610175652013036
1610175640392997,1610175652068440
1610175640393061,1610175652124081
1610175640393126,1610175652179692
1610175640393175,1610175652235358
1610175640393224,1610175652291243
1610175640393271,1610175652346739
1610175640393316,1610175652402432
1610175640393361,1610175652457899
1610175640393407,1610175652513753
1610175640393453,1610175652569150
1610175640393500,1610175652624774
1610175640393567,1610175652680696
1610175640393615,1610175652736491
1610175640393661,1610175652792860
1610175640393708,1610175652848494
1610175640393753,1610175652904217
1610175640393799,1610175652959870
1610175640393844,1610175653015107
1610175640393890,1610175653070681
1610175640393935,1610175653125975
1610175640393989,1610175653181663
1610175640394057,1610175653237197
1610175640394123,1610175653292633
1610175640394174,1610175653347980
1610175640394220,1610175653404136
1610175640394264,1610175653459820
1610175640394312,1610175653515389
1610175640394358,1610175653571141
1610175640394401,1610175653626664
1610175640394453,1610175653736021
1610175640394500,1610175653791646
1610175640394550,1610175653847344
1610175640394611,1610175653903180
1610175640394663,1610175653959018
1610175640394713,1610175654014726
1610175640394757,1610175654070361
1610175640394807,1610175654126098
1610175640394853,1610175654181656
1610175640394906,1610175654237279
1610175640394954,1610175654293044
1610175640395005,1610175654348371
1610175640395053,1610175654403941
1610175640395102,1610175654459705
1610175640395169,1610175654515332
1610175640395216,1610175654571283
1610175640395267,1610175654626990
1610175640395312,1610175654682732
1610175640395360,1610175654738463
1610175640395410,1610175654794077
1610175640395466,1610175654849645
1610175640395518,1610175654905207
1610175640395562,1610175654960981
1610175640395609,1610175655016744
1610175640395672,1610175655072504
1610175640395725,1610175655128201
1610175640395773,1610175655183857
1610175640395818,1610175655239558
1610175640395877,1610175655295089
1610175640395925,1610175655350621
1610175640395970,1610175655406492
1610175640396018,1610175655462138
1610175640396065,1610175655517676
1610175640396111,1610175655573411
1610175640396158,1610175655629257
1610175640396205,1610175655735878
1610175640396257,1610175655791490
1610175640396310,1610175655847073
1610175640396354,1610175655902852
1610175640396403,1610175655958294
1610175640396451,1610175656013872
1610175640396496,1610175656069417
1610175640396543,1610175656125229
1610175640396590,1610175656180824
1610175640396637,1610175656236351
1610175640396689,1610175656292045
1610175640396752,1610175656347581
1610175640396813,1610175656403176
1610175640396861,1610175656458750
1610175640396907,1610175656514588
1610175640396958,1610175656570121
1610175640397004,1610175656625635
1610175640397055,1610175656681139
1610175640397105,1610175656736594
1610175640397157,1610175656792483
1610175640397209,1610175656848399
1610175640397257,1610175656903938
1610175640397305,1610175656959766
1610175640397358,1610175657015423
1610175640397404,1610175657071054
1610175640397453,1610175657126728
1610175640397501,1610175657182202
1610175640397553,1610175657237526
1610175640397601,1610175657293445
1610175640397653,1610175657348952
1610175640397700,1610175657404869
1610175640397751,1610175657460675
1610175640397814,1610175657516434
1610175640397869,1610175657572004
1610175640397933,1610175657627710
1610175640397987,1610175657683196
1610175640398037,1610175657738890
1610175640398083,1610175657794443
1610175640398139,1610175657850129
1610175640398189,1610175657906205
1610175640398236,1610175657961765
1610175640398286,1610175658057850
1610175640398338,1610175658113313
1610175640398390,1610175658169252
1610175640398437,1610175658224687
1610175640398485,1610175658280176
1610175640398535,1610175658335725
1610175640398586,1610175658391301
1610175640398636,1610175658446995
1610175640398687,1610175658502629
1610175640398736,1610175658558316
1610175640398784,1610175658614225
1610175640398837,1610175658669722
1610175640398905,1610175658725496
1610175640398957,1610175658781225
1610175640399007,1610175658837586
1610175640399065,1610175658893002
1610175640399131,1610175658948519
1610175640399183,1610175659004089
1610175640399235,1610175659059773
1610175640399289,1610175659115302
1610175640399341,1610175659170978
1610175640399388,1610175659226511
1610175640399437,1610175659281923
1610175640399488,1610175659337367
1610175640399542,1610175659393223
1610175640399592,1610175659449058
1610175640399642,1610175659504742
1610175640399697,1610175659560401
1610175640399747,1610175659616150
1610175640399795,1610175659671733
1610175640399845,1610175659727279
1610175640399898,1610175659783016
1610175640399964,1610175659838445
1610175640400023,1610175659894050
1610175640400075,1610175659949650
1610175640400131,1610175660030357
1610175640400182,1610175660085896
1610175640400229,1610175660141447
1610175640400281,1610175660197192
1610175640400331,1610175660252788
1610175640400382,1610175660308596
1610175640400432,1610175660364300
1610175640400486,1610175660420117
1610175640400537,1610175660475891
1610175640400591,1610175660531576
1610175640400643,1610175660587239
1610175640400694,1610175660642624
1610175640400745,1610175660698158
1610175640400795,1610175660753890
1610175640400847,1610175660809688
1610175640400898,1610175660865281
1610175640400950,1610175660920913
1610175640401015,1610175660977000
1610175640401079,1610175661032882
1610175640401132,1610175661088719
1610175640401183,1610175661144277
1610175640401231,1610175661199983
1610175640401284,1610175661255500
1610175640401334,1610175661322652
1610175640401385,1610175661378462
1610175640401446,1610175661434640
1610175640401496,1610175661490545
1610175640401547,1610175661546537
1610175640401598,1610175661602200
1610175640401650,1610175661657998
1610175640401701,1610175661713766
1610175640401749,1610175661769573
1610175640401799,1610175661825091
1610175640401857,1610175661880654
1610175640401912,1610175661936207
1610175640401964,1610175661991998
1610175640402018,1610175662048480
1610175640402079,1610175662104088
1610175640402145,1610175662159811
1610175640402198,1610175662215690
1610175640402250,1610175662271437
1610175640402305,1610175662327183
1610175640402353,1610175662383222
1610175640402411,1610175662438990
1610175640402465,1610175662494614
1610175640402516,1610175662550295
1610175640402567,1610175662606594
1610175640402622,1610175662662218
1610175640402675,1610175662717881
1610175640402732,1610175662773536
1610175640402790,1610175662829233
1610175640402846,1610175662884894
1610175640402898,1610175662940480
1610175640402948,1610175662996541
1610175640403002,1610175663052181
1610175640403055,1610175663107768
1610175640403107,1610175663163726
1610175640403193,1610175663219535
1610175640403251,1610175663275260
1610175640403306,1610175663330983
1610175640403366,1610175663386620
1610175640403416,1610175663442356
1610175640403472,1610175663498266
1610175640403527,1610175663553826
1610175640403580,1610175663609386
1610175640403638,1610175663665109
1610175640403690,1610175663720978
1610175640403743,1610175663776692
1610175640403803,1610175663832507
1610175640403863,1610175663888314
1610175640403915,1610175663944120
1610175640403969,1610175664000009
1610175640404023,1610175664055801
1610175640404079,1610175664111478
1610175640404132,1610175664167179
1610175640404185,1610175664222647
1610175640404255,1610175664278393
1610175640404319,1610175664334115
1610175640404375,1610175664389779
1610175640404428,1610175664445502
1610175640404484,1610175664501162
1610175640404541,1610175664556868
1610175640404596,1610175664612507
1610175640404653,1610175664668248
1610175640404707,1610175664724163
1610175640404758,1610175664779757
1610175640404842,1610175664835718
1610175640404915,1610175664891580
1610175640404969,1610175664947602
1610175640405026,1610175665003955
1610175640405082,1610175665059990
1610175640405135,1610175665116006
1610175640405207,1610175665171976
1610175640405269,1610175665227878
1610175640405336,1610175665283793
1610175640405392,1610175665339767
1610175640405448,1610175665395834
1610175640405529,1610175665451960
1610175640405600,1610175665508017
1610175640405656,1610175665563995
1610175640405710,1610175665619998
1610175640405766,1610175665675868
1610175640405825,1610175665731806
1610175640405881,1610175665787984
1610175640405940,1610175665843947
1610175640405997,1610175665900102
1610175640406051,1610175665955807
1610175640406105,1610175666011825
1610175640406164,1610175666067703
1610175640406230,1610175666123516
1610175640406285,1610175666179344
1610175640406347,1610175666235043
1610175640406405,1610175666290833
1610175640406460,1610175666346935
1610175640406514,1610175666402596
1610175640406572,1610175666458394
1610175640406627,1610175666514209
1610175640406682,1610175666570181
1610175640406734,1610175666625993
1610175640406795,1610175666682116
1610175640406854,1610175666737967
1610175640406909,1610175666793716
1610175640406966,1610175666849393
1610175640407020,1610175666905436
1610175640407074,1610175666961416
1610175640407163,1610175667017526
1610175640407235,1610175667073312
1610175640407300,1610175667129151
1610175640407359,1610175667185196
1610175640407418,1610175667241388
1610175640407471,1610175667297394
1610175640407526,1610175667353200
1610175640407584,1610175667409358
1610175640407640,1610175667465974
1610175640407696,1610175667521815
1610175640407754,1610175667577816
1610175640407818,1610175667633667
1610175640407873,1610175667689369
1610175640407934,1610175667745090
1610175640407995,1610175667801148
1610175640408054,1610175667857435
1610175640408108,1610175667913601
1610175640408170,1610175667969510
1610175640408231,1610175668025429
1610175640408290,1610175668081381
1610175640408347,1610175668137202
1610175640408408,1610175668192991
1610175640408462,1610175668248909
1610175640408521,1610175668305018
1610175640408579,1610175668360866
1610175640408639,1610175668416838
1610175640408696,1610175668472794
1610175640408757,1610175668528655
1610175640408815,1610175668584658
1610175640408874,1610175668640391
1610175640408929,1610175668696154
1610175640408985,1610175668751883
1610175640409046,1610175668807769
1610175640409107,1610175668863743
1610175640409163,1610175668919830
1610175640409226,1610175668975916
1610175640409284,1610175669034760
1610175640409341,1610175669090930
1610175640409403,1610175669146804
1610175640409460,1610175669202895
1610175640409516,1610175669258845
1610175640409585,1610175669314920
1610175640409643,1610175669370905
1610175640409704,1610175669427400
1610175640409761,1610175669483395
1610175640409819,1610175669539235
1610175640409876,1610175669595557
1610175640409937,1610175669651534
1610175640410005,1610175669707709
1610175640410063,1610175669763652
1610175640410120,1610175669819921
1610175640410186,1610175669875947
1610175640410244,1610175669932016
1610175640410302,1610175669988175
